Ocena dokonèanih stanovanj po številu sob in površini, po obèinah, Slovenija, letno;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OBÈINE;MERITVE;2010 Stanovanja - SKUPAJ;2010 Enosobna;2010 Dvosobna;2010 Trisobna;2010 Štirisobna;2010 Pet- in veèsobna;2011 Stanovanja - SKUPAJ;2011 Enosobna;2011 Dvosobna;2011 Trisobna;2011 Štirisobna;2011 Pet- in veèsobna;2012 Stanovanja - SKUPAJ;2012 Enosobna;2012 Dvosobna;2012 Trisobna;2012 Štirisobna;2012 Pet- in veèsobna;2013 Stanovanja - SKUPAJ;2013 Enosobna;2013 Dvosobna;2013 Trisobna;2013 Štirisobna;2013 Pet- in veèsobna;2014 Stanovanja - SKUPAJ;2014 Enosobna;2014 Dvosobna;2014 Trisobna;2014 Štirisobna;2014 Pet- in veèsobna;2015 Stanovanja - SKUPAJ;2015 Enosobna;2015 Dvosobna;2015 Trisobna;2015 Štirisobna;2015 Pet- in veèsobna;2016 Stanovanja - SKUPAJ;2016 Enosobna;2016 Dvosobna;2016 Trisobna;2016 Štirisobna;2016 Pet- in veèsobna;2017 Stanovanja - SKUPAJ;2017 Enosobna;2017 Dvosobna;2017 Trisobna;2017 Štirisobna;2017 Pet- in veèsobna;2018 Stanovanja - SKUPAJ;2018 Enosobna;2018 Dvosobna;2018 Trisobna;2018 Štirisobna;2018 Pet- in veèsobna;2019 Stanovanja - SKUPAJ;2019 Enosobna;2019 Dvosobna;2019 Trisobna;2019 Štirisobna;2019 Pet- in veèsobna;2020 Stanovanja - SKUPAJ;2020 Enosobna;2020 Dvosobna;2020 Trisobna;2020 Štirisobna;2020 Pet- in veèsobna
Èrenšovci;Število;12;0;0;2;1;9;12;0;0;1;5;6;11;0;3;0;3;5;19;0;1;1;7;10;9;0;0;0;3;6;5;0;0;3;1;1;18;0;0;10;0;8;3;0;0;1;2;0;10;0;1;2;4;3;4;0;0;1;0;3;10;0;1;1;3;5
Èrenšovci;Površina [m2];2193;0;0;272;172;1749;1997;0;0;56;702;1239;1531;0;266;0;523;742;3723;0;65;149;1121;2388;1400;0;0;0;355;1045;597;0;0;330;94;173;2118;0;0;865;0;1253;225;0;0;54;171;0;1001;0;61;168;338;434;708;0;0;200;0;508;1255;0;72;63;324;796
Èrna na Koroškem;Število;2;0;1;0;1;0;7;0;1;1;3;2;1;0;0;1;0;0;4;0;0;0;2;2;3;0;0;0;0;3;2;0;0;1;0;1;6;0;1;0;1;4;5;0;2;0;0;3;3;0;0;1;1;1;2;0;0;0;1;1;1;0;0;0;1;0
Èrna na Koroškem;Površina [m2];240;0;86;0;154;0;769;0;49;58;349;313;195;0;0;195;0;0;571;0;0;0;344;227;463;0;0;0;0;463;240;0;0;81;0;159;1063;0;61;0;144;858;597;0;45;0;0;552;487;0;0;76;103;308;334;0;0;0;130;204;94;0;0;0;94;0
Èrnomelj;Število;26;1;3;9;9;4;25;0;2;4;8;11;74;11;23;30;7;3;26;0;6;6;13;1;12;1;2;3;4;2;23;13;0;0;3;7;14;0;1;4;6;3;12;0;3;2;4;3;12;0;1;3;1;7;52;1;23;10;14;4;13;1;0;0;5;7
Èrnomelj;Površina [m2];3446;40;222;1118;1272;794;3702;0;151;384;1314;1853;5200;361;1146;1923;1229;541;3767;0;603;706;2319;139;1218;17;116;196;558;331;2125;581;0;0;449;1095;2082;0;33;519;889;641;2150;0;335;200;643;972;2022;0;53;433;147;1389;4205;54;1110;687;1610;744;1409;37;0;0;366;1006
Destrnik;Število;2;0;0;0;1;1;8;0;0;2;1;5;5;0;1;2;0;2;4;0;0;0;2;2;2;0;0;1;1;0;3;0;0;2;1;0;7;1;0;1;3;2;4;0;0;0;2;2;9;0;0;0;4;5;8;0;0;3;4;1;8;0;1;1;4;2
Destrnik;Površina [m2];554;0;0;0;244;310;1257;0;0;195;126;936;848;0;85;256;0;507;694;0;0;0;416;278;403;0;0;174;229;0;263;0;0;108;155;0;764;20;0;162;288;294;818;0;0;0;360;458;1370;0;0;0;551;819;1476;0;0;521;775;180;1127;0;91;188;515;333
Divaèa;Število;12;0;2;0;0;10;8;0;0;0;4;4;6;0;0;2;3;1;10;0;0;2;5;3;9;0;0;0;4;5;7;0;0;1;4;2;8;0;0;3;4;1;2;0;0;0;1;1;2;0;0;1;0;1;3;0;2;0;1;0;7;1;1;3;1;1
Divaèa;Površina [m2];2554;0;316;0;0;2238;1087;0;0;0;557;530;1210;0;0;337;670;203;2004;0;0;258;1172;574;1562;0;0;0;647;915;1482;0;0;340;658;484;1582;0;0;312;1037;233;320;0;0;0;100;220;477;0;0;160;0;317;272;0;125;0;147;0;1137;243;153;405;108;228
Dobje;Število;4;0;0;1;1;2;3;0;1;0;0;2;3;1;0;1;0;1;6;0;1;0;2;3;1;0;0;0;0;1;2;0;1;0;0;1;1;0;0;0;0;1;3;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;2;3;1;0;0;0;2
Dobje;Površina [m2];721;0;0;194;120;407;530;0;45;0;0;485;287;79;0;65;0;143;941;0;23;0;527;391;181;0;0;0;0;181;226;0;102;0;0;124;154;0;0;0;0;154;624;0;0;0;0;624;0;0;0;0;0;0;478;0;0;0;0;478;426;77;0;0;0;349
Dobrepolje;Število;18;1;1;1;3;12;15;0;1;1;1;12;10;1;0;1;2;6;6;0;0;2;4;0;7;1;0;2;1;3;5;0;0;1;1;3;11;1;0;2;4;4;4;0;0;1;2;1;4;0;0;1;1;2;10;1;0;5;2;2;4;0;0;0;3;1
Dobrepolje;Površina [m2];2605;44;40;138;398;1985;2896;0;66;155;290;2385;1539;48;0;192;256;1043;934;0;0;210;724;0;1171;35;0;276;260;600;1035;0;0;123;144;768;2128;232;0;252;751;893;794;0;0;172;385;237;681;0;0;125;227;329;1619;220;0;677;347;375;848;0;0;0;592;256
